generation,best_fitness,mean_fitness,median_fitness
0,0.7091539256076069,0.6931680822489893,0.6919589255081127
1,0.7182160829870154,0.6999265916587912,0.6991748137510126
2,0.7215991170041431,0.7052511796405536,0.7045042324472447
3,0.726532095833539,0.7108688973132871,0.7081163171523717
4,0.7303461831396125,0.7187749968498306,0.7182160829870154
5,0.7448378268721505,0.7235004403392916,0.7226623858494443
6,0.754659218642353,0.7294583532569676,0.7268867002273351
7,0.754659218642353,0.7336688014806673,0.7315026487146247
8,0.754659218642353,0.7391650611951316,0.737635377489885
9,0.754659218642353,0.742351772192098,0.7417094192065179
10,0.7650721239460552,0.7467409750679862,0.7455665416459313
11,0.7650721239460552,0.7495123816183753,0.7479735504022577
12,0.7668000842491013,0.7521253393889221,0.7508297919612725
13,0.7679062292431685,0.7549536487822688,0.754200194908625
14,0.7753039467421553,0.7581163544816857,0.7566832313144858
15,0.7753039467421553,0.7608537547589524,0.7606355047144616
16,0.7760525655129351,0.7632212698610089,0.7620300985135833
17,0.7760525655129351,0.7646329404988976,0.7634762040138036
18,0.7760525655129351,0.7661106447740211,0.7654070036598433
19,0.7817862848094322,0.768012524449725,0.7668532218760538
20,0.7817862848094322,0.7700038670366589,0.7694156790094602
21,0.7817862848094322,0.7713475642517686,0.7706901131502263
22,0.7817862848094322,0.773435205050971,0.7725483753314482
23,0.7861015662456147,0.7750848579963715,0.7745698823595333
24,0.7861015662456147,0.7772604370597602,0.7769698695083336
25,0.7861015662456147,0.7786327148375968,0.778417027498131
26,0.7861015662456147,0.7796689247802088,0.7793217941818046
27,0.78782581932087,0.780905445024624,0.7803175940872854
28,0.78782581932087,0.7817259587530561,0.7812707805201263
29,0.7897530052490994,0.78253379251531,0.7818427158639651
30,0.7897530052490994,0.7830622217934351,0.7826874354767687
31,0.7916890117060804,0.7840065524524414,0.7833343741119313
32,0.7916890117060804,0.7847323135920513,0.783985078513925
33,0.7917589406363716,0.7855500598245456,0.784847946343438
34,0.7917589406363716,0.7864345013443984,0.7863054412981731
35,0.7925339686120185,0.7867569434875233,0.7863774082146573
36,0.7942985773944181,0.787397554901001,0.7868266335160392
37,0.7942985773944181,0.7881055738266564,0.7874195528585413
38,0.7942985773944181,0.7884612470038566,0.7878942288128533
39,0.7942985773944181,0.789110611955254,0.788565549579797
40,0.7942985773944181,0.7896425736142528,0.7894942675362524
41,0.7971152075319426,0.7901808519778748,0.7897530052490994
42,0.7971152075319426,0.7907093431694944,0.7905497687730523
43,0.7971152075319426,0.7908720030910966,0.7905903876634717
44,0.7971152075319426,0.7912833478262228,0.7911979215842435
45,0.7971152075319426,0.7916312968824482,0.7913684338296281
46,0.7971152075319426,0.7918481568258013,0.7916890117060804
47,0.799884112645632,0.7922514696535751,0.7919705932165693
48,0.799884112645632,0.7923760754375124,0.792080783616239
49,0.799884112645632,0.7925048088881859,0.7921073037996618
50,0.799884112645632,0.7926462116592251,0.7922709936542864
51,0.799884112645632,0.7927802845654142,0.7923433858108908
52,0.8006051185391821,0.7931768877212038,0.7927786035941216
53,0.8006051185391821,0.7935378495460835,0.7930494147308119
54,0.8006051185391821,0.79374285206298,0.7932524843047299
55,0.8006051185391821,0.7941927709011908,0.7935224398811895
56,0.8006051185391821,0.7943979785182171,0.7938232161553294
57,0.8006051185391821,0.7946944854326029,0.7941663023493469
58,0.8010741280754389,0.7950208468738226,0.7944020799861393
59,0.8010741280754389,0.7953633160080904,0.7950446306847395
60,0.8010741280754389,0.7955117339131944,0.7951350307592597
61,0.8021754067679331,0.7960277900658789,0.795417767824074
62,0.8021754067679331,0.796312717774373,0.7956576283550789
63,0.8021754067679331,0.7968187157032415,0.7960144590258147
64,0.8024467393092163,0.7970728345616345,0.7962334262591396
65,0.8024467393092163,0.7972081217674438,0.7963788990792888
66,0.8048505693337221,0.7978965355507632,0.7973668131312636
67,0.8048505693337221,0.7983026278099847,0.7980738803937937
68,0.8048505693337221,0.7984397312124538,0.7980953431795799
69,0.8048505693337221,0.7990411485259408,0.7985426305300745
70,0.8052859506217899,0.7994606133822075,0.7991074744202831
71,0.8052859506217899,0.7997566791081913,0.7995574849184564
72,0.8052859506217899,0.7999297001587637,0.7997326744008105
73,0.8052859506217899,0.8000710289771245,0.799884112645632
74,0.8052859506217899,0.8002216952163583,0.800041307579467
75,0.8052859506217899,0.8004637845978714,0.8003403558614184
76,0.8052859506217899,0.8006380630252152,0.8004678088835976
77,0.8052859506217899,0.8008927645144766,0.8006051185391821
78,0.8052859506217899,0.8010932420961905,0.8006709037298504
79,0.8052859506217899,0.8012047149776859,0.8008515038541951
80,0.8052859506217899,0.8013259344939921,0.8009920135660125
81,0.8052859506217899,0.8014475225544138,0.8010175036652694
82,0.8052859506217899,0.8014920270937363,0.8010175036652694
83,0.8052859506217899,0.8015407483749771,0.8010436790456056
84,0.8052859506217899,0.8017359396752166,0.8013143928598473
85,0.8052859506217899,0.8019237864896579,0.8015357104989185
86,0.8052859506217899,0.8021266563803503,0.8016982817381848
87,0.8058711887007178,0.8023323451917386,0.8020664907706336
88,0.8070008644850635,0.8027041066630612,0.8024759754521685
89,0.8070008644850635,0.8028412129337898,0.8025948808554506
90,0.8074584992611218,0.8032248783818392,0.803018612312418
91,0.8074584992611218,0.8034008423681289,0.8030867751532015
92,0.8074584992611218,0.8035084003849247,0.8031605695068077
93,0.8081160693851807,0.8037666598941289,0.803249702611716
94,0.8081160693851807,0.803901628007829,0.8034359356284568
